label,email
1,Hi John! Just wanted to confirm our meeting tomorrow at 2pm. Looking forward to discussing the project updates.
0,CONGRATULATIONS! You've won $1,000,000 in our lottery! Click here to claim your prize now!!!
1,Please find attached the quarterly report for Q3. Let me know if you need any clarification.
0,Buy cheap medications online! 90% off all pills! No prescription needed!!!
1,Team - The sprint planning meeting is rescheduled to Wednesday at 10am. Please update your calendars.
0,Make $$$ working from home! Easy money guaranteed - sign up now for our amazing opportunity!!!
1,Thanks for sending over the documentation. I've reviewed it and added my comments in the shared folder.
0,Your account has been compromised! Click here immediately to verify your details!!!
1,Great presentation yesterday! The client was very impressed with the proposed solutions.
0,Hot singles in your area want to meet you! Click here now!!!
